NUM_CTA,NOMBRE
6200.039.0002,INTERNET
6200.040.0002,ENERGIA ELECTRICA
6200.041.0002,VIGILANCIA
6200.042.0002,COMBUSTIBLES Y LUBRICANTES
6200.043.0002,BOLETOS DE AVION
6200.044.0002,PASAJES Y TRANSPORTES LOCALES
6200.045.0002,HOSPEDAJE
6200.046.0002,ALIMENTACION
6200.047.0002,OTROS GASTOS DE VIAJE
6200.048.0002,FLETES Y ACARREOS
6200.049.0002,PUBLICIDAD
6200.050.0002,ARTICULOS PROMOCIONALES
6200.051.0002,COMIDAS CON EL PERSONAL
6200.052.0002,COMIDAS DE NEGOCIOS
6200.053.0002,GASTOS DE FIN DE AÑO
6200.054.0002,NO DEDUCIBLES
6200.055.0002,OTROS GASTOS DE ADMINISTRACION
6300.001.0002,DEPRECIACION DE EDIFICIOS
6300.002.0002,DEPRECIACION EQUIPO DE TRANSPORTE
6300.003.0002,DEPRECIACION EQUIPO DE COMPUTO
6300.004.0002,DEPRECIACION DE EQUIPO DE OFICINA
6400.001.0002,AMORTIZACION DE PATENTES Y MARCAS
6400.002.0002,AMORTIZACION DE GASTOS DE INSTALACION
7100.001.0002,INTERESES GANADOS EN INVERSIONES
7100.002.0002,INTERESES COBRADOS A CLIENTES
7100.003.0002,UTILIDAD CAMBIARIA
7100.004.0002,OTROS PRODUCTOS FINANCIEROS
7200.001.0002,INTERESES BANCARIOS A CARGO
7200.002.0002,PERDIDA CAMBIARIA
7200.003.0002,COMISION POR APERTURA DE CREDITOS
7200.004.0002,COMISIONES BANCARIAS
7300.001.0002,EN VENTAS DE EQUIPO DE TRANSPORTE
7300.002.0002,OTROS PRODUCTOS
7400.001.0002,PERDIDA EN VENTA DE EQUIPO DE TRANSPORTE
7400.002.0002,OTROS GASTOS
8100.001.0002,ISR
8200.100.0002,PTU
9100.001.0002,UTILIDAD FISCAL NETA DEL EJERCICIO
9100.002.0002,CUFIN DEL EJERCICIO
9100.003.0002,CUFIN DE EJERCICIOS ANTERIORES
9100.004.0002,CUFINRE DEL EJERCICIO
9100.005.0002,CUFINRE DE EJERCICIOS ANTERIORES
9100.006.0002,CUCA DEL EJERCICIO
9100.007.0002,CUCA DE EJERCICIOS ANTERIORES
9100.008.0002,AJUSTE ANUAL POR INFLACIÓN ACUMULABLE
9100.009.0002,AJUSTE ANUAL POR INFLACIÓN DEDUCIBLE
9100.010.0002,DEPRECIACIÓN FISCAL APLICADA
9100.011.0002,UTILIDAD O PERD. FISCAL EN VTA DE ACT.
9100.012.0002,PÉRDIDAS FISCALES POR AMORTIZAR
9100.013.0002,OTRAS DEDUCCIONES FISCALES NO CONTABLES
9200.001.0002,CONTRA CTA. UT. FISCAL NETA EL EJERCICIO
9200.002.0002,CONTRA CTA. CUFIN DEL EJERCICIO
9200.003.0002,CONTRA CTA. CUFIN DE EJER. ANTERIORES
9200.004.0002,CONTRA CTA. CUFINRE DEL EJER.
9200.005.0002,CONTRA CTA. CUFINRE DE EJER. ANTERIORES
9200.006.0002,CONTRA CTA. CUCA DEL EJERCICIO
9200.007.0002,CONTRA CTA. CUCA DE EJERCICIOS ANTERIORE
9200.008.0002,AJUSTE ANUAL POR INFLACIÓN ACUMULABLE
9200.009.0002,AJUSTE ANUAL POR INFLACIÓN DEDUCIBLE
9200.010.0002,CONTRA CTA. DEPRECIACIÓN FISCAL APLICADA
9200.011.0002,UTILIDAD O PERD. FISCAL EN VTA DE ACTIVO
9200.012.0002,CONTRA CTA. PÉRDIDAS FISCALES POR AMORT.
